"Step","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_4 - train/loss","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_4 - train/loss__MIN","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_4 - train/loss__MAX","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_3 - train/loss","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_3 - train/loss__MIN","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_3 - train/loss__MAX","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_2 - train/loss","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_2 - train/loss__MIN","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_2 - train/loss__MAX","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_1 - train/loss","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_1 - train/loss__MIN","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_1 - train/loss__MAX","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_0 - train/loss","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_0 - train/loss__MIN","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_0 - train/loss__MAX"
"0","0.0753534734249115","0.0753534734249115","0.0753534734249115","0.09912340342998505","0.09912340342998505","0.09912340342998505","0.09636270999908447","0.09636270999908447","0.09636270999908447","0.10753882676362991","0.10753882676362991","0.10753882676362991","0.08606712520122528","0.08606712520122528","0.08606712520122528"
"1","0.06692124903202057","0.06692124903202057","0.06692124903202057","0.06979017704725266","0.06979017704725266","0.06979017704725266","0.06852483004331589","0.06852483004331589","0.06852483004331589","0.07519010454416275","0.07519010454416275","0.07519010454416275","0.06695546954870224","0.06695546954870224","0.06695546954870224"
"2","0.05754692479968071","0.05754692479968071","0.05754692479968071","0.0658225566148758","0.0658225566148758","0.0658225566148758","0.05767441913485527","0.05767441913485527","0.05767441913485527","0.060656774789094925","0.060656774789094925","0.060656774789094925","0.06458770483732224","0.06458770483732224","0.06458770483732224"
"3","0.04766978695988655","0.04766978695988655","0.04766978695988655","0.05808137357234955","0.05808137357234955","0.05808137357234955","0.05279307812452316","0.05279307812452316","0.05279307812452316","0.057530008256435394","0.057530008256435394","0.057530008256435394","0.053983740508556366","0.053983740508556366","0.053983740508556366"
"4","0.049257032573223114","0.049257032573223114","0.049257032573223114","0.047831229865550995","0.047831229865550995","0.047831229865550995","0.04938077926635742","0.04938077926635742","0.04938077926635742","0.05282285064458847","0.05282285064458847","0.05282285064458847","0.04760318621993065","0.04760318621993065","0.04760318621993065"
"5","0.047294627875089645","0.047294627875089645","0.047294627875089645","0.047741908580064774","0.047741908580064774","0.047741908580064774","0.04699654504656792","0.04699654504656792","0.04699654504656792","0.04731697961688042","0.04731697961688042","0.04731697961688042","0.04765941947698593","0.04765941947698593","0.04765941947698593"
"6","0.04787518456578255","0.04787518456578255","0.04787518456578255","0.0467149019241333","0.0467149019241333","0.0467149019241333","0.04664488509297371","0.04664488509297371","0.04664488509297371","0.04890243336558342","0.04890243336558342","0.04890243336558342","0.047444749623537064","0.047444749623537064","0.047444749623537064"
"7","0.046797920018434525","0.046797920018434525","0.046797920018434525","0.04577912390232086","0.04577912390232086","0.04577912390232086","0.04767096787691116","0.04767096787691116","0.04767096787691116","0.04777956008911133","0.04777956008911133","0.04777956008911133","0.04704342037439346","0.04704342037439346","0.04704342037439346"
"8","0.04652196168899536","0.04652196168899536","0.04652196168899536","0.04510151222348213","0.04510151222348213","0.04510151222348213","0.04616086184978485","0.04616086184978485","0.04616086184978485","0.0455191396176815","0.0455191396176815","0.0455191396176815","0.04570061340928078","0.04570061340928078","0.04570061340928078"
"9","0.050442155450582504","0.050442155450582504","0.050442155450582504","0.04568269103765488","0.04568269103765488","0.04568269103765488","0.045795075595378876","0.045795075595378876","0.045795075595378876","0.046491581946611404","0.046491581946611404","0.046491581946611404","0.045328907668590546","0.045328907668590546","0.045328907668590546"
"10","0.046167198568582535","0.046167198568582535","0.046167198568582535","0.04484571889042854","0.04484571889042854","0.04484571889042854","0.04516576603055","0.04516576603055","0.04516576603055","0.04495333880186081","0.04495333880186081","0.04495333880186081","0.044510699808597565","0.044510699808597565","0.044510699808597565"
"11","0.04497195780277252","0.04497195780277252","0.04497195780277252","0.044469695538282394","0.044469695538282394","0.044469695538282394","0.0438167080283165","0.0438167080283165","0.0438167080283165","0.04480316489934921","0.04480316489934921","0.04480316489934921","0.04414990171790123","0.04414990171790123","0.04414990171790123"
"12","0.04477093741297722","0.04477093741297722","0.04477093741297722","0.0435592420399189","0.0435592420399189","0.0435592420399189","0.04502282291650772","0.04502282291650772","0.04502282291650772","0.045547835528850555","0.045547835528850555","0.045547835528850555","0.043786730617284775","0.043786730617284775","0.043786730617284775"
"13","0.04350822791457176","0.04350822791457176","0.04350822791457176","0.04335732012987137","0.04335732012987137","0.04335732012987137","0.04316483438014984","0.04316483438014984","0.04316483438014984","0.04609014093875885","0.04609014093875885","0.04609014093875885","0.04325195029377937","0.04325195029377937","0.04325195029377937"
"14","0.043257277458906174","0.043257277458906174","0.043257277458906174","0.043789032846689224","0.043789032846689224","0.043789032846689224","0.044640518724918365","0.044640518724918365","0.044640518724918365","0.04414433613419533","0.04414433613419533","0.04414433613419533","0.042871054261922836","0.042871054261922836","0.042871054261922836"
"15","0.04329837113618851","0.04329837113618851","0.04329837113618851","0.042880602180957794","0.042880602180957794","0.042880602180957794","0.04429265484213829","0.04429265484213829","0.04429265484213829","0.04358848184347153","0.04358848184347153","0.04358848184347153","0.042173802852630615","0.042173802852630615","0.042173802852630615"
"16","0.042983897030353546","0.042983897030353546","0.042983897030353546","0.04354934021830559","0.04354934021830559","0.04354934021830559","0.044498808681964874","0.044498808681964874","0.044498808681964874","0.04283371940255165","0.04283371940255165","0.04283371940255165","0.04224564507603645","0.04224564507603645","0.04224564507603645"
"17","0.04312380030751228","0.04312380030751228","0.04312380030751228","0.04342032968997955","0.04342032968997955","0.04342032968997955","0.04436192661523819","0.04436192661523819","0.04436192661523819","0.0428992360830307","0.0428992360830307","0.0428992360830307","0.04189087450504303","0.04189087450504303","0.04189087450504303"
"18","0.042972493916749954","0.042972493916749954","0.042972493916749954","0.043750252574682236","0.043750252574682236","0.043750252574682236","0.04303528368473053","0.04303528368473053","0.04303528368473053","0.04306396469473839","0.04306396469473839","0.04306396469473839","0.04224570095539093","0.04224570095539093","0.04224570095539093"
"19","0.042942263185977936","0.042942263185977936","0.042942263185977936","0.04352722316980362","0.04352722316980362","0.04352722316980362","0.04276759549975395","0.04276759549975395","0.04276759549975395","0.04271869361400604","0.04271869361400604","0.04271869361400604","0.04246021434664726","0.04246021434664726","0.04246021434664726"
"20","0.042612168937921524","0.042612168937921524","0.042612168937921524","0.04291008040308952","0.04291008040308952","0.04291008040308952","0.04279426485300064","0.04279426485300064","0.04279426485300064","0.041991788893938065","0.041991788893938065","0.041991788893938065","0.042575348168611526","0.042575348168611526","0.042575348168611526"
"21","0.04233618453145027","0.04233618453145027","0.04233618453145027","0.042534664273262024","0.042534664273262024","0.042534664273262024","0.04268859326839447","0.04268859326839447","0.04268859326839447","0.042651526629924774","0.042651526629924774","0.042651526629924774","0.04286229982972145","0.04286229982972145","0.04286229982972145"
"22","0.04253392666578293","0.04253392666578293","0.04253392666578293","0.04263008013367653","0.04263008013367653","0.04263008013367653","0.04286206141114235","0.04286206141114235","0.04286206141114235","0.04209614545106888","0.04209614545106888","0.04209614545106888","0.04179425165057182","0.04179425165057182","0.04179425165057182"
"23","0.04253973439335823","0.04253973439335823","0.04253973439335823","0.042480167001485825","0.042480167001485825","0.042480167001485825","0.04273362085223198","0.04273362085223198","0.04273362085223198","0.04213930293917656","0.04213930293917656","0.04213930293917656","0.041709963232278824","0.041709963232278824","0.041709963232278824"
"24","0.04214081913232803","0.04214081913232803","0.04214081913232803","0.04265011101961136","0.04265011101961136","0.04265011101961136","0.04301369935274124","0.04301369935274124","0.04301369935274124","0.04247484356164932","0.04247484356164932","0.04247484356164932","0.041869085282087326","0.041869085282087326","0.041869085282087326"
"25","0.04203902930021286","0.04203902930021286","0.04203902930021286","0.04194313660264015","0.04194313660264015","0.04194313660264015","0.042182259261608124","0.042182259261608124","0.042182259261608124","0.04261177033185959","0.04261177033185959","0.04261177033185959","0.04204563796520233","0.04204563796520233","0.04204563796520233"
"26","0.041701026260852814","0.041701026260852814","0.041701026260852814","0.04225797951221466","0.04225797951221466","0.04225797951221466","0.042220063507556915","0.042220063507556915","0.042220063507556915","0.04242392256855965","0.04242392256855965","0.04242392256855965","0.04161912202835083","0.04161912202835083","0.04161912202835083"
"27","0.04225187376141548","0.04225187376141548","0.04225187376141548","0.04231666773557663","0.04231666773557663","0.04231666773557663","0.042026981711387634","0.042026981711387634","0.042026981711387634","0.04280419275164604","0.04280419275164604","0.04280419275164604","0.04113098233938217","0.04113098233938217","0.04113098233938217"
"28","0.041722048074007034","0.041722048074007034","0.041722048074007034","0.041866037994623184","0.041866037994623184","0.041866037994623184","0.04213157668709755","0.04213157668709755","0.04213157668709755","0.042138148099184036","0.042138148099184036","0.042138148099184036","0.04078037291765213","0.04078037291765213","0.04078037291765213"
"29","0.04155564680695534","0.04155564680695534","0.04155564680695534","0.041581813246011734","0.041581813246011734","0.041581813246011734","0.043795302510261536","0.043795302510261536","0.043795302510261536","0.0412478893995285","0.0412478893995285","0.0412478893995285","0.040686480700969696","0.040686480700969696","0.040686480700969696"
"30","0.04166833311319351","0.04166833311319351","0.04166833311319351","0.04176181182265282","0.04176181182265282","0.04176181182265282","0.04274957999587059","0.04274957999587059","0.04274957999587059","0.04154933616518974","0.04154933616518974","0.04154933616518974","0.04099888354539871","0.04099888354539871","0.04099888354539871"
"31","0.041335877031087875","0.041335877031087875","0.041335877031087875","0.04190204665064812","0.04190204665064812","0.04190204665064812","0.042138855904340744","0.042138855904340744","0.042138855904340744","0.041384078562259674","0.041384078562259674","0.041384078562259674","0.040813568979501724","0.040813568979501724","0.040813568979501724"
"32","0.04122975096106529","0.04122975096106529","0.04122975096106529","0.04112931713461876","0.04112931713461876","0.04112931713461876","0.04199649393558502","0.04199649393558502","0.04199649393558502","0.04169447720050812","0.04169447720050812","0.04169447720050812","0.04077531397342682","0.04077531397342682","0.04077531397342682"
"33","0.04130541905760765","0.04130541905760765","0.04130541905760765","0.04161842539906502","0.04161842539906502","0.04161842539906502","0.04198751226067543","0.04198751226067543","0.04198751226067543","0.04201307147741318","0.04201307147741318","0.04201307147741318","0.04121938720345497","0.04121938720345497","0.04121938720345497"
"34","0.04120851680636406","0.04120851680636406","0.04120851680636406","0.041089244186878204","0.041089244186878204","0.041089244186878204","0.04155859723687172","0.04155859723687172","0.04155859723687172","0.041229866445064545","0.041229866445064545","0.041229866445064545","0.0413038469851017","0.0413038469851017","0.0413038469851017"
"35","0.04137052595615387","0.04137052595615387","0.04137052595615387","0.04101439565420151","0.04101439565420151","0.04101439565420151","0.041984718292951584","0.041984718292951584","0.041984718292951584","0.041111771017313004","0.041111771017313004","0.041111771017313004","0.04138574376702309","0.04138574376702309","0.04138574376702309"
"36","0.041032854467630386","0.041032854467630386","0.041032854467630386","0.04200603440403938","0.04200603440403938","0.04200603440403938","0.041116755455732346","0.041116755455732346","0.041116755455732346","0.04136811941862106","0.04136811941862106","0.04136811941862106","0.041223421692848206","0.041223421692848206","0.041223421692848206"
"37","0.0412285141646862","0.0412285141646862","0.0412285141646862","0.04096641391515732","0.04096641391515732","0.04096641391515732","0.041142359375953674","0.041142359375953674","0.041142359375953674","0.04105716198682785","0.04105716198682785","0.04105716198682785","0.040087826550006866","0.040087826550006866","0.040087826550006866"
"38","0.040955934673547745","0.040955934673547745","0.040955934673547745","0.04084911197423935","0.04084911197423935","0.04084911197423935","0.04097592458128929","0.04097592458128929","0.04097592458128929","0.04096531867980957","0.04096531867980957","0.04096531867980957","0.040115609765052795","0.040115609765052795","0.040115609765052795"
"39","0.04066646471619606","0.04066646471619606","0.04066646471619606","0.0408470593392849","0.0408470593392849","0.0408470593392849","0.04142649471759796","0.04142649471759796","0.04142649471759796","0.04043741151690483","0.04043741151690483","0.04043741151690483","0.04015319421887398","0.04015319421887398","0.04015319421887398"
"40","0.04063507542014122","0.04063507542014122","0.04063507542014122","0.04141940549015999","0.04141940549015999","0.04141940549015999","0.04103606194257736","0.04103606194257736","0.04103606194257736","0.040827833116054535","0.040827833116054535","0.040827833116054535","0.04011588543653488","0.04011588543653488","0.04011588543653488"
"41","0.040989819914102554","0.040989819914102554","0.040989819914102554","0.04152104631066322","0.04152104631066322","0.04152104631066322","0.041339974850416183","0.041339974850416183","0.041339974850416183","0.041231606155633926","0.041231606155633926","0.041231606155633926","0.040108002722263336","0.040108002722263336","0.040108002722263336"
"42","0.040510062128305435","0.040510062128305435","0.040510062128305435","0.041087906807661057","0.041087906807661057","0.041087906807661057","0.041127171367406845","0.041127171367406845","0.041127171367406845","0.0411519818007946","0.0411519818007946","0.0411519818007946","0.04020698741078377","0.04020698741078377","0.04020698741078377"
"43","0.04104093462228775","0.04104093462228775","0.04104093462228775","0.04055359214544296","0.04055359214544296","0.04055359214544296","0.04155397787690163","0.04155397787690163","0.04155397787690163","0.0407615527510643","0.0407615527510643","0.0407615527510643","0.039355840533971786","0.039355840533971786","0.039355840533971786"
"44","0.0405663326382637","0.0405663326382637","0.0405663326382637","0.04069453477859497","0.04069453477859497","0.04069453477859497","0.04040348902344704","0.04040348902344704","0.04040348902344704","0.04046749323606491","0.04046749323606491","0.04046749323606491","0.039803583174943924","0.039803583174943924","0.039803583174943924"
"45","0.040359847247600555","0.040359847247600555","0.040359847247600555","0.04072398692369461","0.04072398692369461","0.04072398692369461","0.04125278443098068","0.04125278443098068","0.04125278443098068","0.040663477033376694","0.040663477033376694","0.040663477033376694","0.039623282849788666","0.039623282849788666","0.039623282849788666"
"46","0.04049961641430855","0.04049961641430855","0.04049961641430855","0.041225776076316833","0.041225776076316833","0.041225776076316833","0.04145244136452675","0.04145244136452675","0.04145244136452675","0.04033545032143593","0.04033545032143593","0.04033545032143593","0.03974345698952675","0.03974345698952675","0.03974345698952675"
"47","0.040653571486473083","0.040653571486473083","0.040653571486473083","0.040808118879795074","0.040808118879795074","0.040808118879795074","0.04101874306797981","0.04101874306797981","0.04101874306797981","0.040238481014966965","0.040238481014966965","0.040238481014966965","0.040093645453453064","0.040093645453453064","0.040093645453453064"
"48","0.04076142981648445","0.04076142981648445","0.04076142981648445","0.0411544032394886","0.0411544032394886","0.0411544032394886","0.0407211035490036","0.0407211035490036","0.0407211035490036","0.04026872664690018","0.04026872664690018","0.04026872664690018","0.040157757699489594","0.040157757699489594","0.040157757699489594"
"49","0.041270818561315536","0.041270818561315536","0.041270818561315536","0.04065472632646561","0.04065472632646561","0.04065472632646561","0.040664251893758774","0.040664251893758774","0.040664251893758774","0.04027682915329933","0.04027682915329933","0.04027682915329933","0.039460740983486176","0.039460740983486176","0.039460740983486176"