"Step","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MAX","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MAX","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MAX","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MAX","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MIN","CostFourierVelModelSmall_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MAX"
"0","0.10068544000387192","0.10068544000387192","0.10068544000387192","0.09743106365203857","0.09743106365203857","0.09743106365203857","0.09481935948133469","0.09481935948133469","0.09481935948133469","0.09870211035013199","0.09870211035013199","0.09870211035013199","0.10877345502376556","0.10877345502376556","0.10877345502376556"
"1","0.06228596717119217","0.06228596717119217","0.06228596717119217","0.057379480451345444","0.057379480451345444","0.057379480451345444","0.06093106046319008","0.06093106046319008","0.06093106046319008","0.06061338633298874","0.06061338633298874","0.06061338633298874","0.058715835213661194","0.058715835213661194","0.058715835213661194"
"2","0.05913076177239418","0.05913076177239418","0.05913076177239418","0.05516282841563225","0.05516282841563225","0.05516282841563225","0.05637506768107414","0.05637506768107414","0.05637506768107414","0.05693335831165314","0.05693335831165314","0.05693335831165314","0.05425851419568062","0.05425851419568062","0.05425851419568062"
"3","0.054816536605358124","0.054816536605358124","0.054816536605358124","0.05111013352870941","0.05111013352870941","0.05111013352870941","0.05338820442557335","0.05338820442557335","0.05338820442557335","0.054848093539476395","0.054848093539476395","0.054848093539476395","0.05292334407567978","0.05292334407567978","0.05292334407567978"
"4","0.05123349651694298","0.05123349651694298","0.05123349651694298","0.048130232840776443","0.048130232840776443","0.048130232840776443","0.04852155223488808","0.04852155223488808","0.04852155223488808","0.05023222416639328","0.05023222416639328","0.05023222416639328","0.04940599948167801","0.04940599948167801","0.04940599948167801"
"5","0.04902380704879761","0.04902380704879761","0.04902380704879761","0.04691903293132782","0.04691903293132782","0.04691903293132782","0.04737633094191551","0.04737633094191551","0.04737633094191551","0.04901374876499176","0.04901374876499176","0.04901374876499176","0.04818394035100937","0.04818394035100937","0.04818394035100937"
"6","0.04766985401511192","0.04766985401511192","0.04766985401511192","0.04580327123403549","0.04580327123403549","0.04580327123403549","0.04640220105648041","0.04640220105648041","0.04640220105648041","0.04715893045067787","0.04715893045067787","0.04715893045067787","0.04649089649319649","0.04649089649319649","0.04649089649319649"
"7","0.04685330018401146","0.04685330018401146","0.04685330018401146","0.045072365552186966","0.045072365552186966","0.045072365552186966","0.04538196697831154","0.04538196697831154","0.04538196697831154","0.04656432941555977","0.04656432941555977","0.04656432941555977","0.04544876888394356","0.04544876888394356","0.04544876888394356"
"8","0.045996081084012985","0.045996081084012985","0.045996081084012985","0.04426778480410576","0.04426778480410576","0.04426778480410576","0.0448823943734169","0.0448823943734169","0.0448823943734169","0.045593976974487305","0.045593976974487305","0.045593976974487305","0.04467543587088585","0.04467543587088585","0.04467543587088585"
"9","0.045617181807756424","0.045617181807756424","0.045617181807756424","0.04401157796382904","0.04401157796382904","0.04401157796382904","0.04405522346496582","0.04405522346496582","0.04405522346496582","0.045073915272951126","0.045073915272951126","0.045073915272951126","0.04399368539452553","0.04399368539452553","0.04399368539452553"
"10","0.04474727809429169","0.04474727809429169","0.04474727809429169","0.04350489377975464","0.04350489377975464","0.04350489377975464","0.04380350559949875","0.04380350559949875","0.04380350559949875","0.04420434311032295","0.04420434311032295","0.04420434311032295","0.04386533424258232","0.04386533424258232","0.04386533424258232"
"11","0.04430225118994713","0.04430225118994713","0.04430225118994713","0.043613847345113754","0.043613847345113754","0.043613847345113754","0.04351922497153282","0.04351922497153282","0.04351922497153282","0.04353271797299385","0.04353271797299385","0.04353271797299385","0.044756557792425156","0.044756557792425156","0.044756557792425156"
"12","0.043991945683956146","0.043991945683956146","0.043991945683956146","0.04334676265716553","0.04334676265716553","0.04334676265716553","0.043344974517822266","0.043344974517822266","0.043344974517822266","0.04275011271238327","0.04275011271238327","0.04275011271238327","0.043897006660699844","0.043897006660699844","0.043897006660699844"
"13","0.04389053210616112","0.04389053210616112","0.04389053210616112","0.04369749128818512","0.04369749128818512","0.04369749128818512","0.04229246824979782","0.04229246824979782","0.04229246824979782","0.04279894754290581","0.04279894754290581","0.04279894754290581","0.0426587238907814","0.0426587238907814","0.0426587238907814"
"14","0.04326510429382324","0.04326510429382324","0.04326510429382324","0.042242247611284256","0.042242247611284256","0.042242247611284256","0.041945185512304306","0.041945185512304306","0.041945185512304306","0.04268801212310791","0.04268801212310791","0.04268801212310791","0.042024437338113785","0.042024437338113785","0.042024437338113785"
"15","0.04271217808127403","0.04271217808127403","0.04271217808127403","0.043106723576784134","0.043106723576784134","0.043106723576784134","0.04145466908812523","0.04145466908812523","0.04145466908812523","0.04246462136507034","0.04246462136507034","0.04246462136507034","0.04135976359248161","0.04135976359248161","0.04135976359248161"
"16","0.04274208843708038","0.04274208843708038","0.04274208843708038","0.04233021289110184","0.04233021289110184","0.04233021289110184","0.04179318994283676","0.04179318994283676","0.04179318994283676","0.04106757417321205","0.04106757417321205","0.04106757417321205","0.041078343987464905","0.041078343987464905","0.041078343987464905"
"17","0.04315832629799843","0.04315832629799843","0.04315832629799843","0.042435694485902786","0.042435694485902786","0.042435694485902786","0.04150432348251343","0.04150432348251343","0.04150432348251343","0.04127185046672821","0.04127185046672821","0.04127185046672821","0.04057624563574791","0.04057624563574791","0.04057624563574791"
"18","0.04246300458908081","0.04246300458908081","0.04246300458908081","0.0414750799536705","0.0414750799536705","0.0414750799536705","0.04129244387149811","0.04129244387149811","0.04129244387149811","0.04123913496732712","0.04123913496732712","0.04123913496732712","0.041209571063518524","0.041209571063518524","0.041209571063518524"
"19","0.041620273143053055","0.041620273143053055","0.041620273143053055","0.04155096784234047","0.04155096784234047","0.04155096784234047","0.04060639441013336","0.04060639441013336","0.04060639441013336","0.04226125031709671","0.04226125031709671","0.04226125031709671","0.04076739773154259","0.04076739773154259","0.04076739773154259"
"20","0.041436608880758286","0.041436608880758286","0.041436608880758286","0.04092457517981529","0.04092457517981529","0.04092457517981529","0.041192539036273956","0.041192539036273956","0.041192539036273956","0.04101935401558876","0.04101935401558876","0.04101935401558876","0.04152587801218033","0.04152587801218033","0.04152587801218033"
"21","0.041057489812374115","0.041057489812374115","0.041057489812374115","0.04126635938882828","0.04126635938882828","0.04126635938882828","0.040458500385284424","0.040458500385284424","0.040458500385284424","0.04111132770776749","0.04111132770776749","0.04111132770776749","0.04128672927618027","0.04128672927618027","0.04128672927618027"
"22","0.04101836308836937","0.04101836308836937","0.04101836308836937","0.04057852178812027","0.04057852178812027","0.04057852178812027","0.04100686311721802","0.04100686311721802","0.04100686311721802","0.040440499782562256","0.040440499782562256","0.040440499782562256","0.04127170890569687","0.04127170890569687","0.04127170890569687"
"23","0.0408145971596241","0.0408145971596241","0.0408145971596241","0.04109491780400276","0.04109491780400276","0.04109491780400276","0.04034559428691864","0.04034559428691864","0.04034559428691864","0.040409334003925323","0.040409334003925323","0.040409334003925323","0.039885811507701874","0.039885811507701874","0.039885811507701874"
"24","0.04053862392902374","0.04053862392902374","0.04053862392902374","0.04086575284600258","0.04086575284600258","0.04086575284600258","0.040741633623838425","0.040741633623838425","0.040741633623838425","0.039966292679309845","0.039966292679309845","0.039966292679309845","0.04002787917852402","0.04002787917852402","0.04002787917852402"
"25","0.040125712752342224","0.040125712752342224","0.040125712752342224","0.040671247988939285","0.040671247988939285","0.040671247988939285","0.039722856134176254","0.039722856134176254","0.039722856134176254","0.03971676528453827","0.03971676528453827","0.03971676528453827","0.039411094039678574","0.039411094039678574","0.039411094039678574"
"26","0.040130116045475006","0.040130116045475006","0.040130116045475006","0.04058007895946503","0.04058007895946503","0.04058007895946503","0.03964624181389809","0.03964624181389809","0.03964624181389809","0.03988836333155632","0.03988836333155632","0.03988836333155632","0.03949218988418579","0.03949218988418579","0.03949218988418579"
"27","0.040245845913887024","0.040245845913887024","0.040245845913887024","0.04004151001572609","0.04004151001572609","0.04004151001572609","0.03929010406136513","0.03929010406136513","0.03929010406136513","0.04014628008008003","0.04014628008008003","0.04014628008008003","0.039107874035835266","0.039107874035835266","0.039107874035835266"
"28","0.04021511226892471","0.04021511226892471","0.04021511226892471","0.03966094180941582","0.03966094180941582","0.03966094180941582","0.039110440760850906","0.039110440760850906","0.039110440760850906","0.039797887206077576","0.039797887206077576","0.039797887206077576","0.0392112098634243","0.0392112098634243","0.0392112098634243"
"29","0.03967607766389847","0.03967607766389847","0.03967607766389847","0.039884068071842194","0.039884068071842194","0.039884068071842194","0.03930754214525223","0.03930754214525223","0.03930754214525223","0.03965993970632553","0.03965993970632553","0.03965993970632553","0.03957293555140495","0.03957293555140495","0.03957293555140495"
"30","0.039662010967731476","0.039662010967731476","0.039662010967731476","0.03984062001109123","0.03984062001109123","0.03984062001109123","0.03928568214178085","0.03928568214178085","0.03928568214178085","0.03975983336567879","0.03975983336567879","0.03975983336567879","0.04018605127930641","0.04018605127930641","0.04018605127930641"
"31","0.03951789066195488","0.03951789066195488","0.03951789066195488","0.03967193886637688","0.03967193886637688","0.03967193886637688","0.03921492397785187","0.03921492397785187","0.03921492397785187","0.03961022570729256","0.03961022570729256","0.03961022570729256","0.039300959557294846","0.039300959557294846","0.039300959557294846"
"32","0.039573825895786285","0.039573825895786285","0.039573825895786285","0.040167760103940964","0.040167760103940964","0.040167760103940964","0.039506297558546066","0.039506297558546066","0.039506297558546066","0.03953961282968521","0.03953961282968521","0.03953961282968521","0.03906239941716194","0.03906239941716194","0.03906239941716194"
"33","0.03919752687215805","0.03919752687215805","0.03919752687215805","0.04015497490763664","0.04015497490763664","0.04015497490763664","0.03919190913438797","0.03919190913438797","0.03919190913438797","0.0389573760330677","0.0389573760330677","0.0389573760330677","0.038814790546894073","0.038814790546894073","0.038814790546894073"
"34","0.03883260488510132","0.03883260488510132","0.03883260488510132","0.039784982800483704","0.039784982800483704","0.039784982800483704","0.0389210507273674","0.0389210507273674","0.0389210507273674","0.03924772888422012","0.03924772888422012","0.03924772888422012","0.03869255632162094","0.03869255632162094","0.03869255632162094"
"35","0.038864027708768845","0.038864027708768845","0.038864027708768845","0.03953103721141815","0.03953103721141815","0.03953103721141815","0.03877147659659386","0.03877147659659386","0.03877147659659386","0.03908352181315422","0.03908352181315422","0.03908352181315422","0.03908032923936844","0.03908032923936844","0.03908032923936844"
"36","0.039194777607917786","0.039194777607917786","0.039194777607917786","0.03939288482069969","0.03939288482069969","0.03939288482069969","0.03877321630716324","0.03877321630716324","0.03877321630716324","0.038793060928583145","0.038793060928583145","0.038793060928583145","0.038588929921388626","0.038588929921388626","0.038588929921388626"
"37","0.03956502303481102","0.03956502303481102","0.03956502303481102","0.03908506780862808","0.03908506780862808","0.03908506780862808","0.03902045264840126","0.03902045264840126","0.03902045264840126","0.03904474899172783","0.03904474899172783","0.03904474899172783","0.03886719048023224","0.03886719048023224","0.03886719048023224"
"38","0.038912806659936905","0.038912806659936905","0.038912806659936905","0.03927866369485855","0.03927866369485855","0.03927866369485855","0.03883140906691551","0.03883140906691551","0.03883140906691551","0.03939344361424446","0.03939344361424446","0.03939344361424446","0.038938216865062714","0.038938216865062714","0.038938216865062714"
"39","0.03897525742650032","0.03897525742650032","0.03897525742650032","0.03946292772889137","0.03946292772889137","0.03946292772889137","0.03915875405073166","0.03915875405073166","0.03915875405073166","0.03904472663998604","0.03904472663998604","0.03904472663998604","0.03872217610478401","0.03872217610478401","0.03872217610478401"
"40","0.03865552693605423","0.03865552693605423","0.03865552693605423","0.03940971568226814","0.03940971568226814","0.03940971568226814","0.03888034075498581","0.03888034075498581","0.03888034075498581","0.03893942013382912","0.03893942013382912","0.03893942013382912","0.03872356191277504","0.03872356191277504","0.03872356191277504"
"41","0.038767777383327484","0.038767777383327484","0.038767777383327484","0.038790278136730194","0.038790278136730194","0.038790278136730194","0.03862402215600014","0.03862402215600014","0.03862402215600014","0.039091531187295914","0.039091531187295914","0.039091531187295914","0.03868941590189934","0.03868941590189934","0.03868941590189934"
"42","0.038823388516902924","0.038823388516902924","0.038823388516902924","0.03930111974477768","0.03930111974477768","0.03930111974477768","0.0384451299905777","0.0384451299905777","0.0384451299905777","0.038523752242326736","0.038523752242326736","0.038523752242326736","0.03861960396170616","0.03861960396170616","0.03861960396170616"
"43","0.03882705792784691","0.03882705792784691","0.03882705792784691","0.03949994966387749","0.03949994966387749","0.03949994966387749","0.038327109068632126","0.038327109068632126","0.038327109068632126","0.03900329768657684","0.03900329768657684","0.03900329768657684","0.037890058010816574","0.037890058010816574","0.037890058010816574"
"44","0.03901511803269386","0.03901511803269386","0.03901511803269386","0.03898905962705612","0.03898905962705612","0.03898905962705612","0.038030628114938736","0.038030628114938736","0.038030628114938736","0.03897685185074806","0.03897685185074806","0.03897685185074806","0.03828303888440132","0.03828303888440132","0.03828303888440132"
"45","0.03877789527177811","0.03877789527177811","0.03877789527177811","0.03898652642965317","0.03898652642965317","0.03898652642965317","0.038716766983270645","0.038716766983270645","0.038716766983270645","0.03873234614729881","0.03873234614729881","0.03873234614729881","0.03824161738157272","0.03824161738157272","0.03824161738157272"
"46","0.038538817316293716","0.038538817316293716","0.038538817316293716","0.03896303102374077","0.03896303102374077","0.03896303102374077","0.03893037885427475","0.03893037885427475","0.03893037885427475","0.03915010765194893","0.03915010765194893","0.03915010765194893","0.038297537714242935","0.038297537714242935","0.038297537714242935"
"47","0.03822403401136398","0.03822403401136398","0.03822403401136398","0.03869028389453888","0.03869028389453888","0.03869028389453888","0.038399700075387955","0.038399700075387955","0.038399700075387955","0.038882020860910416","0.038882020860910416","0.038882020860910416","0.03820556029677391","0.03820556029677391","0.03820556029677391"
"48","0.0383385568857193","0.0383385568857193","0.0383385568857193","0.03871410712599754","0.03871410712599754","0.03871410712599754","0.03900054842233658","0.03900054842233658","0.03900054842233658","0.03875457122921944","0.03875457122921944","0.03875457122921944","0.03829332813620567","0.03829332813620567","0.03829332813620567"
"49","0.03823379427194595","0.03823379427194595","0.03823379427194595","0.038904834538698196","0.038904834538698196","0.038904834538698196","0.03884878009557724","0.03884878009557724","0.03884878009557724","0.03874541074037552","0.03874541074037552","0.03874541074037552","0.039106037467718124","0.039106037467718124","0.039106037467718124"